Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
SRR2546427_fairy_all_metabat2_short_bin.1	63.27	6.86	Gradient Boost (General Model)	11	0.879	4704	247.12076145151696	2828623	0.64	3362	741	22748	None
SRR2546427_fairy_all_metabat2_short_bin.10	17.89	0.2	Neural Network (Specific Model)	11	0.841	2892	215.56192080876158	908328	0.62	1187	318	10388	None
SRR2546427_fairy_all_metabat2_short_bin.11	41.96	3.21	Neural Network (Specific Model)	11	0.897	6431	274.2614962251201	1333792	0.64	1457	259	28642	None
SRR2546427_fairy_all_metabat2_short_bin.12	67.2	0.96	Neural Network (Specific Model)	11	0.855	6551	216.2535053280987	1347817	0.5	1783	266	37168	None
SRR2546427_fairy_all_metabat2_short_bin.13	84.69	0.24	Neural Network (Specific Model)	11	0.855	7833	224.7311422413793	1458022	0.39	1856	247	36384	None
SRR2546427_fairy_all_metabat2_short_bin.14	75.02	1.27	Gradient Boost (General Model)	11	0.936	15150	304.36930038287505	2789168	0.65	2873	254	74492	None
SRR2546427_fairy_all_metabat2_short_bin.15	19.31	0.3	Neural Network (Specific Model)	11	0.857	4938	231.0149625935162	646389	0.53	802	155	18436	None
SRR2546427_fairy_all_metabat2_short_bin.16	82.75	36.29	Gradient Boost (General Model)	11	0.909	4870	251.06841964046149	3080039	0.64	3727	771	25240	None
SRR2546427_fairy_all_metabat2_short_bin.17	11.65	0.0	Neural Network (Specific Model)	11	0.953	3937	265.59327217125383	272245	0.69	327	76	9519	None
SRR2546427_fairy_all_metabat2_short_bin.18	61.87	2.68	Gradient Boost (General Model)	11	0.947	3886	269.78979980934224	1788232	0.71	2098	493	26958	None
SRR2546427_fairy_all_metabat2_short_bin.19	41.31	0.98	Gradient Boost (General Model)	11	0.899	3615	246.07147766323024	1191680	0.66	1455	370	10798	None
SRR2546427_fairy_all_metabat2_short_bin.2	70.37	1.12	Gradient Boost (General Model)	11	0.878	7531	283.16312659303316	2272213	0.61	2354	398	43094	None
SRR2546427_fairy_all_metabat2_short_bin.20	79.51	3.76	Gradient Boost (General Model)	11	0.867	21730	253.76960076960077	1820240	0.52	2079	108	127663	None
SRR2546427_fairy_all_metabat2_short_bin.21	55.11	0.63	Gradient Boost (General Model)	11	0.914	6617	254.25181723779855	1600768	0.66	1926	298	29637	None
SRR2546427_fairy_all_metabat2_short_bin.22	88.48	2.7	Gradient Boost (General Model)	11	0.878	22764	253.1528846153846	1793635	0.52	2080	110	68694	None
SRR2546427_fairy_all_metabat2_short_bin.23	57.38	7.27	Gradient Boost (General Model)	11	0.848	4136	251.64509394572025	3399376	0.56	3832	939	40296	None
SRR2546427_fairy_all_metabat2_short_bin.24	81.4	3.14	Gradient Boost (General Model)	11	0.921	13650	303.60276746540666	2920953	0.69	2963	340	59061	None
SRR2546427_fairy_all_metabat2_short_bin.25	24.72	0.0	Neural Network (Specific Model)	11	0.941	7035	301.07090239410684	1039527	0.69	1086	184	37845	None
SRR2546427_fairy_all_metabat2_short_bin.26	82.23	1.15	Gradient Boost (General Model)	11	0.919	4707	262.9916132215096	1736385	0.63	2027	426	27999	None
SRR2546427_fairy_all_metabat2_short_bin.27	23.92	0.1	Neural Network (Specific Model)	11	0.862	4094	245.24528301886792	811406	0.56	954	224	14944	None
SRR2546427_fairy_all_metabat2_short_bin.28	54.63	0.34	Gradient Boost (General Model)	11	0.911	8190	261.8038537549407	1737455	0.66	2024	267	27357	None
SRR2546427_fairy_all_metabat2_short_bin.29	67.47	6.48	Gradient Boost (General Model)	11	0.912	5014	250.93133922501698	2418793	0.7	2942	588	28777	None
SRR2546427_fairy_all_metabat2_short_bin.3	51.4	0.7	Gradient Boost (General Model)	11	0.849	4430	245.6265560165975	2085748	0.59	2410	527	18088	None
SRR2546427_fairy_all_metabat2_short_bin.30	41.89	1.83	Gradient Boost (General Model)	11	0.87	9004	247.10873015873017	1070732	0.52	1260	154	30823	None
SRR2546427_fairy_all_metabat2_short_bin.31	96.24	5.02	Gradient Boost (General Model)	11	0.879	20441	295.52321111768185	6797196	0.56	6764	647	91340	None
SRR2546427_fairy_all_metabat2_short_bin.32	80.8	3.92	Gradient Boost (General Model)	11	0.871	15794	241.93517679057118	1831009	0.52	2206	161	57242	None
SRR2546427_fairy_all_metabat2_short_bin.33	46.33	0.28	Gradient Boost (General Model)	11	0.929	7339	293.26	2170695	0.68	2300	358	24035	None
SRR2546427_fairy_all_metabat2_short_bin.34	8.55	0.33	Neural Network (Specific Model)	11	0.888	5235	250.2996632996633	500586	0.58	594	117	21901	None
SRR2546427_fairy_all_metabat2_short_bin.35	33.46	1.79	Neural Network (Specific Model)	11	0.891	3552	249.85600530856004	1263249	0.67	1507	392	22510	None
SRR2546427_fairy_all_metabat2_short_bin.36	23.93	0.01	Neural Network (Specific Model)	11	0.857	2877	235.5658835546476	805659	0.6	979	293	7133	None
SRR2546427_fairy_all_metabat2_short_bin.37	35.18	3.4	Neural Network (Specific Model)	11	0.873	2781	230.53535102952122	3185034	0.67	4031	1144	18447	None
SRR2546427_fairy_all_metabat2_short_bin.38	6.57	0.01	Neural Network (Specific Model)	11	0.75	6539	182.6965811965812	340665	0.43	468	65	19312	None
