Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
ERR3414586_fairy_single_metabat2_short_bin.1	19.75	0.0	Neural Network (Specific Model)	11	0.865	42621	287.01119402985074	266239	0.29	268	11	106665	None
ERR3414586_fairy_single_metabat2_short_bin.10	38.05	0.08	Neural Network (Specific Model)	11	0.879	60917	287.8358458961474	585484	0.28	597	15	120662	None
ERR3414586_fairy_single_metabat2_short_bin.101	8.24	0.0	Neural Network (Specific Model)	11	0.878	55734	369.9378881987578	203433	0.55	161	4	100119	None
ERR3414586_fairy_single_metabat2_short_bin.102	53.76	1.91	Gradient Boost (General Model)	11	0.878	7105	264.58361774744026	2377938	0.59	2637	411	50045	None
ERR3414586_fairy_single_metabat2_short_bin.103	22.09	0.0	Neural Network (Specific Model)	11	0.891	78964	334.56993736951983	539014	0.53	479	8	174899	None
ERR3414586_fairy_single_metabat2_short_bin.104	59.07	9.65	Gradient Boost (General Model)	11	0.866	8322	284.7425373134328	1582856	0.28	1608	246	55066	None
ERR3414586_fairy_single_metabat2_short_bin.105	34.62	0.02	Neural Network (Specific Model)	11	0.868	76731	349.43756906077346	1091814	0.53	905	29	202642	None
ERR3414586_fairy_single_metabat2_short_bin.106	29.18	0.01	Neural Network (Specific Model)	11	0.896	105729	350.61914893617023	550803	0.51	470	6	221861	None
ERR3414586_fairy_single_metabat2_short_bin.107	16.87	0.03	Neural Network (Specific Model)	11	0.9	58719	324.53108808290153	416693	0.55	386	14	102563	None
ERR3414586_fairy_single_metabat2_short_bin.109	91.09	0.42	Gradient Boost (General Model)	11	0.901	14116	300.93819334389855	2523660	0.66	2524	234	42089	None
ERR3414586_fairy_single_metabat2_short_bin.11	60.92	0.37	Gradient Boost (General Model)	11	0.868	20798	315.1258064516129	1011310	0.6	930	73	69504	None
ERR3414586_fairy_single_metabat2_short_bin.110	90.13	2.24	Gradient Boost (General Model)	11	0.862	56589	339.32262569832403	1689001	0.62	1432	38	191002	None
ERR3414586_fairy_single_metabat2_short_bin.111	25.35	0.01	Neural Network (Specific Model)	11	0.839	21499	293.2345058626466	625424	0.58	597	47	36600	None
ERR3414586_fairy_single_metabat2_short_bin.113	34.72	0.0	Neural Network (Specific Model)	11	0.867	86439	300.5104712041885	396905	0.29	382	6	156770	None
ERR3414586_fairy_single_metabat2_short_bin.114	27.01	0.01	Neural Network (Specific Model)	11	0.851	80420	334.3071017274472	613104	0.5	521	12	144796	None
ERR3414586_fairy_single_metabat2_short_bin.115	85.99	1.56	Gradient Boost (General Model)	11	0.874	118882	361.01933216168715	2111778	0.55	1707	38	199418	None
ERR3414586_fairy_single_metabat2_short_bin.116	3.69	0.01	Neural Network (Specific Model)	11	0.955	19735	490.5496183206107	201782	0.56	131	12	26227	None
ERR3414586_fairy_single_metabat2_short_bin.117	93.86	0.13	Gradient Boost (General Model)	11	0.917	62812	346.95012953367876	1749794	0.56	1544	39	188339	None
ERR3414586_fairy_single_metabat2_short_bin.118	30.92	0.09	Neural Network (Specific Model)	11	0.862	33572	306.1914893617021	899823	0.57	846	49	76388	None
ERR3414586_fairy_single_metabat2_short_bin.119	93.1	34.35	Neural Network (Specific Model)	11	0.873	6180	271.992781520693	3876246	0.65	4156	771	61994	None
ERR3414586_fairy_single_metabat2_short_bin.120	91.99	1.02	Gradient Boost (General Model)	11	0.851	81897	317.3395485770363	1137978	0.36	1019	23	278973	None
ERR3414586_fairy_single_metabat2_short_bin.121	58.49	0.35	Gradient Boost (General Model)	11	0.89	44921	328.6197266785502	1861004	0.57	1683	71	118890	None
ERR3414586_fairy_single_metabat2_short_bin.123	25.86	0.08	Neural Network (Specific Model)	11	0.875	63394	354.85643070787637	1218131	0.52	1003	30	133794	None
ERR3414586_fairy_single_metabat2_short_bin.124	71.49	4.05	Gradient Boost (General Model)	11	0.849	13588	307.38874680306907	847877	0.36	782	90	44300	None
ERR3414586_fairy_single_metabat2_short_bin.125	11.66	0.0	Neural Network (Specific Model)	11	0.851	279067	360.741935483871	433134	0.54	341	2	279067	None
ERR3414586_fairy_single_metabat2_short_bin.126	54.76	4.98	Gradient Boost (General Model)	11	0.906	159995	339.70054945054943	1226583	0.53	1092	13	271675	None
ERR3414586_fairy_single_metabat2_short_bin.127	22.91	4.3	Neural Network (Specific Model)	11	0.859	6329	234.6506996770721	1518360	0.4	1858	309	43003	None
ERR3414586_fairy_single_metabat2_short_bin.128	15.5	0.01	Neural Network (Specific Model)	11	0.872	44794	308.5517970401691	501012	0.53	473	14	127304	None
ERR3414586_fairy_single_metabat2_short_bin.13	31.38	0.18	Neural Network (Specific Model)	11	0.841	22523	303.11395646606917	843417	0.58	781	52	86687	None
ERR3414586_fairy_single_metabat2_short_bin.130	6.32	0.03	Neural Network (Specific Model)	11	0.908	26469	419.59712230215825	384834	0.53	278	22	47892	None
ERR3414586_fairy_single_metabat2_short_bin.131	34.53	0.01	Neural Network (Specific Model)	11	0.83	116770	311.3374028856826	1011756	0.57	901	18	270694	None
ERR3414586_fairy_single_metabat2_short_bin.132	13.5	0.01	Neural Network (Specific Model)	11	0.882	172404	314.47937131630647	543626	0.46	509	5	259660	None
ERR3414586_fairy_single_metabat2_short_bin.134	24.34	0.0	Neural Network (Specific Model)	11	0.889	68937	314.2294288480155	1093700	0.51	1033	21	231389	None
ERR3414586_fairy_single_metabat2_short_bin.135	96.8	86.86	Gradient Boost (General Model)	11	0.864	3049	234.2045621780721	6607201	0.29	8154	2268	24039	None
ERR3414586_fairy_single_metabat2_short_bin.136	18.12	0.0	Neural Network (Specific Model)	11	0.87	74127	342.16319444444446	339226	0.5	288	4	138203	None
ERR3414586_fairy_single_metabat2_short_bin.137	52.5	0.74	Neural Network (Specific Model)	11	0.908	275914	314.780303030303	1645069	0.41	1584	14	349723	None
ERR3414586_fairy_single_metabat2_short_bin.138	80.6	0.39	Gradient Boost (General Model)	11	0.911	192593	348.0811130846655	1932167	0.53	1689	17	686310	None
ERR3414586_fairy_single_metabat2_short_bin.139	94.17	1.13	Gradient Boost (General Model)	11	0.897	23359	286.64796342477143	2301623	0.31	2406	152	73054	None
ERR3414586_fairy_single_metabat2_short_bin.140	47.69	2.81	Gradient Boost (General Model)	11	0.861	12603	260.8575471698113	961124	0.26	1060	128	57194	None
ERR3414586_fairy_single_metabat2_short_bin.142	11.54	0.01	Neural Network (Specific Model)	11	0.888	32094	275.34583333333336	222955	0.27	240	9	80957	None
ERR3414586_fairy_single_metabat2_short_bin.143	30.19	0.73	Neural Network (Specific Model)	11	0.878	282742	359.2431693989071	448710	0.32	366	2	282742	None
ERR3414586_fairy_single_metabat2_short_bin.144	21.42	0.01	Neural Network (Specific Model)	11	0.904	36253	305.88316151202747	295064	0.31	291	12	53130	None
ERR3414586_fairy_single_metabat2_short_bin.145	73.76	0.05	Gradient Boost (General Model)	11	0.887	38751	330.56309148264984	1415343	0.55	1268	45	129402	None
ERR3414586_fairy_single_metabat2_short_bin.146	13.49	0.0	Neural Network (Specific Model)	11	0.891	247835	330.615969581749	292155	0.48	263	3	247835	None
