Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
ERR3414581_fairy_all_metabat2_short_bin.1	74.8	0.05	Gradient Boost (General Model)	11	0.895	11922	300.1468531468532	1864935	0.52	1859	236	46792	None
ERR3414581_fairy_all_metabat2_short_bin.10	90.31	0.0	Neural Network (Specific Model)	11	0.83	15806	299.0532192035728	2897502	0.55	2687	265	65252	None
ERR3414581_fairy_all_metabat2_short_bin.100	91.32	3.7	Gradient Boost (General Model)	11	0.888	47145	328.39845261121854	1145255	0.36	1034	50	89338	None
ERR3414581_fairy_all_metabat2_short_bin.101	5.61	0.0	Neural Network (Specific Model)	11	0.876	126974	301.8076923076923	214188	0.54	208	2	126974	None
ERR3414581_fairy_all_metabat2_short_bin.102	95.12	0.73	Neural Network (Specific Model)	11	0.885	170424	322.9101243339254	3074588	0.47	2815	29	328442	None
ERR3414581_fairy_all_metabat2_short_bin.103	77.09	0.04	Gradient Boost (General Model)	11	0.888	91060	340.9123475609756	1509075	0.56	1312	28	176134	None
ERR3414581_fairy_all_metabat2_short_bin.104	6.51	0.05	Neural Network (Specific Model)	11	0.891	359095	342.00320512820514	359095	0.43	312	1	359095	None
ERR3414581_fairy_all_metabat2_short_bin.105	98.95	1.52	Gradient Boost (General Model)	11	0.882	92392	331.44059177068885	2436027	0.65	2163	63	215761	None
ERR3414581_fairy_all_metabat2_short_bin.106	96.09	0.06	Gradient Boost (General Model)	11	0.875	22296	312.8886561954625	3065701	0.53	2865	199	101143	None
ERR3414581_fairy_all_metabat2_short_bin.107	70.77	0.0	Neural Network (Specific Model)	11	0.865	52297	311.6287878787879	1708219	0.45	1584	57	99888	None
ERR3414581_fairy_all_metabat2_short_bin.108	98.9	0.14	Gradient Boost (General Model)	11	0.907	88422	324.0063424947146	3035814	0.46	2838	61	289733	None
ERR3414581_fairy_all_metabat2_short_bin.109	7.16	0.0	Neural Network (Specific Model)	11	0.877	144123	298.62068965517244	207027	0.56	203	2	144123	None
ERR3414581_fairy_all_metabat2_short_bin.11	95.31	0.25	Gradient Boost (General Model)	11	0.897	23999	343.45831370701836	2434044	0.49	2123	161	159338	None
ERR3414581_fairy_all_metabat2_short_bin.110	84.79	0.39	Neural Network (Specific Model)	11	0.895	36764	316.8309294871795	2643518	0.44	2496	112	117634	None
ERR3414581_fairy_all_metabat2_short_bin.111	72.41	1.25	Gradient Boost (General Model)	11	0.865	10528	298.56033376123236	1610122	0.56	1558	231	64439	None
ERR3414581_fairy_all_metabat2_short_bin.112	97.52	0.0	Gradient Boost (General Model)	11	0.895	74122	316.90673374613004	2739388	0.66	2584	58	243479	None
ERR3414581_fairy_all_metabat2_short_bin.113	87.9	0.53	Gradient Boost (General Model)	11	0.858	17064	300.2571208622017	1362145	0.3	1299	111	60490	None
